Text,Sentiment
 ....  i don't know what to do..,neg
 .... i think i lost my spanish book!! :-X,neg
 .... Life can be so complicated. I know God has a plan .... I just have to trust in him.,neg
" ......... Oh well, at least Suzumiya Haruhi no Yuuutsu is on air.",neg
 .........not really a good night guys ! buu huu,neg
 ...I did not get cast in but I will keep looking for some dance opportunities.  I need some exercise.,neg
 ...the ground around me is wet... i looked up to see if any drops fall on my face...it was drizzle all around but I am missing my drops,neg
 ..i forgot to bring my new sharpie pens to school today..booo!,neg
 ..omg...my celly is off...this hasn't happened to me in years...WTF!!! gota get my bill paid,neg
 : The Last Gadget http://tinyurl.com/pd4wyp #Geek_And_Poke,pos
 :'( this is so horrible,neg
 :'( where ius that one person that can make me smile ,neg
 :S this tweetdeck is killing me hate it ,neg
 ;) July Flowers (July 2negneg9) #Holiday,pos
 @ last.fm not working.,neg
 @aaronXnow finally got twitter haha,pos
 @aChAotIcBeaUtY,pos
 @Aimee_B_Loved I think there may be a connection between Paul Reubens and the reason why movie theater fl.. http://tr.im/nfKO,pos
"- @alittlebit - temperature is down, but the pain is still bad. Hoping antibiotics kick in soon! Thanks for asking ",pos
"-- @anyamanda said I tweets less these days so, hi! ",pos
" @AuroraLee Would love to see you guys sometime! *grin* - and aw rats, maybe it'll warm up real fast??? LOL",pos
- @benboychuk I hope it's not actually on here birthday that she's getting shots.  ,neg
" @billbeckett's signature has posnegneg% rubbed off my mondayeyes bracelet. At least I have plenty of autographs from him, but still. Sad day.",neg
 @blackswan2 &quot;to all you&quot; ? http://blip.fm/~7dposqo,pos
 @blondedivapospos What happened while I was gone? Anybody get arrested http://tr.im/koFz,pos
 @canuckgrrrl Seeing a guy dressed up as a banana totally made my day. Phallic symbol FTW http://tr.im/mVTm,pos
- @carole29 yep  coz of the England game on Wednesday,pos
" , Alllllan ruins my lifeeee.",neg
-- . =D There's my BOO.  *Blushes*,pos
-- . BYYEEE . ILY2 Jamarcusssssss ,pos
 . I was want to buy the sims 3 . But it sold out . Wtf . Haha..,neg
-- . You aint gotta apologize. I know I'm not ugly. ,pos
 .. just ,neg
" .. yep,i have things my way all the time. i am selfish. everything revolves around me. yep. im a bitch. great for me (Y) =|",neg
 ... ...I don't wanna get rid of twitter  You guys are too cool...,neg
 ... i try... i try so hard... and i seem to get no credit for it.... wats the prob?,neg
"- ... wide awake, but dont actually wanna go to school :S  xxx",neg
 .... Dream beautiful.,neg
 .... now only have one roommate....,neg
 ..... Im givin myself 5 minutes to turn that frown upside down,neg
 ......i cant even say a word right now,neg
 .....why am i so sad??...becuz of u or becuz of the exam??.....i think..becuz of u... ,neg
 ...?                   ..frustrated?,neg
 ...and i feel a shallow breath that squeezes past the fifty pounds of stone laid in my chest.,neg
 ...just found out that a friend from my childhood has passed away... May he Rest In Peace.,neg
 ...still in the office... ,neg
 ...that is all,pos
 ..sniffles... since I dont get to leave this fucking house...AW GREAT the power's gone. and its getting dark.. Puurfect!,neg
 / I feel so ... ... Left out,neg
 ::sigh:: we didnt win the contest . stupid popularity contest. i had so many votes for her also.  im realy sad. i had such a good feeling,neg
 ;( noooo! why? things are so complicated if I spelt that wrong idc,neg
 ;( noooo! why? things are so complicated if I spelt thy wrong idc,neg
" ;) Butterfly Day (Jun pos9, 2negneg9) #Holiday",pos
 ??? what does it means ?,pos
 @ JFK International Airport http://loopt.us/PPYZTQ.t,neg
 @ jonas brothers youtube bein suspended,neg
 @ moval court 4 a traffic ticket..I should b sleeping..aahh.,neg
- @ work.. || Only 5 hours of it today and then weeeekend!  Can't wait for the long weekend to begin! Gonna get some things done for sure!,pos
 @ahugeproduction Praying for my cold to go to my head because a skunk just sprayed my yard. This is the w.. http://tr.im/n8AI,pos
" @AriaaJaeger Created from the realms of Light, pure love commands the fold When you think and speak with love, a new world you'll behold~",pos
 @arjunbasu The music was so quiet that he was sure there was a massive hoax being played. On him alone. I.. http://tr.im/mP2j,pos
 @bananarchy_atx sold out of frozen bananas today!   http://mypict.me/2QIM,neg
 @beckobviously i have no car to come to you either.,neg
 @belllareow has disappeared again ,neg
- @billyraycyrus oi tell your daughter to lower her ticket prices we cant afford it in london  my sister cried.,neg
"- @brooklyn_belle LOL. &quot;cat.&quot; I'm a huge fan. Also, the more i think about it, the more I think you should hold off on Sims 3 ",neg
" @Canuckflack Speaking as a historian, WTF do you incorporate twitter buzz by upper middle class North Ame.. http://tr.im/oFLS",pos
" @cnnbrk: Farrah Fawcett, star of &quot;Charlie's Angels,&quot; has died from cancer at 62.",neg
"- @cmedders Yes, before the show, I suggested that we ought to do a celebrity deathmatch ",pos
" @CranberryPerson Dear hyper chihuahua, we only have 45 minutes left together on this drive, but I have a .. http://tr.im/lAj6",pos
 @danawalker Washington Capitals would be one of #myweakness as well.,pos
" @daveena looking fwd to a twitpic of selma soon. Cool name, add a k to the end and it's tok'ra",pos
 @desiredeffect,neg
 @dustincary yea I really wanna see a win for him at daytona,pos
 @DWO34 Great to follow @BUTTERFLYWHEEL @DebraWard @chastity_pospospospos @Cortnee4Christ @DWO34 @DarrenSproat @Sharboubou @mikehanes,pos
 @EightyThreeKid aww I'm sorry bae u kno I be grindin =D BUT I GOT U I SWEAR....I needa go buy an artbook that or construction paper,pos
"- @fontenot6pos9 Hey you! @PoisonGirlposneg How long will you be on? @summerblonde83 Thx! @Nicnegpicneg hehehe yw ;) @sevgli Yeah, they're not! ",neg
" @gigia: &quot;@Mama_K: &quot;Nobody told me Violent Femmes covered Gnarls Barkley! &quot; tks, dude!! &quot; ? http://blip.fm/~6svjq",pos
 @HitzProductions unfortunately I'm coming from NJ the boonies...I gotta drive to the path,neg
"- @iamfauxpas All gigs this weekend have been cancelled, so it may be temporary or shut for good. Still trying to find out. BOO. ",neg
" @idvssuperego Started working on a â€œwarm, fluffy fartâ€? tweet before realizing I donâ€™t especially like far.. http://tr.im/n7Jneg",pos
 @infobotz News = Google Getting Twitterpated? - http://tinyurl.com/oropl7,pos
 @isak is mad at me. #fail,neg
 @jazzgotsoul @liveguy lol nooooooooo!!!,pos
 @jessdelight I just played ur joint two songs ago. Everyone in studio was feeling it!,neg
- @jonswerens I can't get excited about Conan. ,pos
 @LadyKeisha @scorpio5posneg thanx for the post &amp; the warm wishes.. enjoy ur day!,pos
 @latuacatantepos7 youu welcomee,pos
" @LisaBarone If, thru the miracle of modern science, Bruce and Danny had a child...",pos
 @lisad stopped talking to me. I should stalk her. ^^,neg
"- @littlecharva - you'll be pleased to know I did not have a nice night's sleep, even in a comfy bed ;) even a sleeping bag would be same ",neg
" @loic Now try sex in bing, deactivate safe search and go to video. You are now on a porn site without lea.. http://tr.im/npos8y",pos
 @lushone toolio has court on the 24th...,neg
" @Mgapmp When you meet @johncmayer tonight, please tell him my story. How Laker Fans made me miss his show!",neg
 @MICHAEL_CASTRO is not at 9neg2  thanks!,pos
- @minxlj hope you get better soon ,neg
 @misterdjin i just saw...,neg
 @Mizz_Bliz I slept late too. I wonder y u did...Mhmm. I'm not as hype as u think to leave the country for 2 weeks &amp; 3 days.,neg
 @MIZZWALKER which one???,neg
 @moogyboobles AHHHHHH - bloody Five. Why did they give away House (and me the Sky subscription)?,neg
 @Mp3Jackson Is Upset With Me Lol,neg
" @mrjoecool well praise the lord 4 gud moods i kno i need 2 b pos, im workn out ma thighs &amp; these dark clouds is scaring me",pos
 @Nambu sending my tweets from wrong account although selected the right one.,neg
" @oliveshoot aw, sweet Leslie was tweeting luv last night!  You are my #pos and absolute FAVE!",pos
 big ass kool-aid smile on my face from talkin to my boo...,pos
 bleh... I feel like QQing now. ,neg
 blowdrying my hair,pos
 Boo to that ,neg
 bored........doing nothing at all....okay...i'm a pretty shy girl...,pos
 BOREDDDD  going to do powerpoint,pos
 boring nite...damn I guess I better get use to this,neg
 boro let me down. It's getting very tight.,neg
 bosco graduation then sara's voice recital,pos
 breakfast with family,pos
 Britains Got Talent on RIGHT NOW ! Good luck Susan Boyle ;),pos
 bummed to be missing bb Kris's comcast chat. Stupid responsibilities.,neg
" burnt tongue, hot chocolate has a downside",neg
 but eatting popcorn so its getting better,neg
 but I don't want a boyfriend for the summer.,neg
" but I love you, Aaron.",neg
" but not HIM! He's just a brown nose, telling her she's super-duper beautyful and then he just said a day before: sorry someone died!",neg
"- but suddenly something happens, I write it in Portuguese ",pos
 can first see MTV Movie Awards on Thursday!! how sad!!&lt;3&lt;3 but am looking forward to Thursday!! jubii!!,neg
 Can I join you?  {*_*}  KarenWild,neg
 canon powershot s4negneg you had served me very well. i am sorry that i left u in that car for hottest 3 days... i mourn your loss,neg
 Carrie has a bad eye infection...just waiting for hear from the vets to see if they found anything ,neg
 cba i'm revising my french oral fuck it,neg
- certification test #2 at 8:3neg this morning. Feeling much better about this one today ,pos
 changin my name to ambergirl66 ;) haha my youtube name and it mathces my background ;),pos
-- chilling with my niggahz Haley and Dylan ,pos
 chocolate cake with a delicious strawberry yummy yummy,pos
" church with matt,was...good. I think I'm going to be a 'churchgirl' now. )",pos
-- city tonight for mae! ,pos
 cnt even use a single Twitter App!!!!!,neg
" cold, despite the heater. weirdly though, it's not actually cold today!",neg
 come on bitchesss #barakatday #barakatday #barakatday #barakatday,neg
 come party,neg
" come to manchester while your in england  id love to meet you  did you have fun in germany? its beautiful, i love it. (L) xx",pos
 Coming up to the home stretch now with this J/M fic. YAY!!,pos
 computer is being very tempermental at the moment....,neg
" Congrats to AL's newest state Senator elect, Democrat Mark Keahey. http://is.gd/MRr3 #alpolitics",pos
 Content.&quot;made a pac lets see how long it last&quot;,pos
 cookies the first time,pos
 could this night be any worse?,neg
 couldn't find it,neg
 cramps. Drugs--good.,neg
 crap day tat will get craper,neg
 credit card bill. ow my wallet.,neg
"-- dad came back &amp;asked us to go to anyer till thu! While him, gonna go back &amp;forth from banten to anyer, for us. Poor him ",neg
 dads got to turn the power off  caio,neg
 dammit... No more sleep for me.. And on my day off to.. :-/,neg
" damn gettin it from someone right now, damn i guess im not sleeping tonite with these texts.. ",neg
 damn u still haven't been to sleep? and just look them up...i think it was Royalty Beats and City Council,neg
 damn! didnt make on time and the border was closed! drove hr. to toher side of state to make it ti Mexico!.sniff! sniff! tired!,neg
" Damn, lost three followers... I was getting so close to fifty.. Help me out?",neg
 damn. There has to be something wrong. And its not youu,neg
 Dan won't have off for my birthday.,neg
" darn you city, I just want to leave!",neg
 def. i have no studio so ur jus gunna get the lyrics [shrug]  @ExoticBella_,pos
 definately bedtime,neg
 definately just missed my train. smh. fuck!,neg
 depressing day ? http://blip.fm/~6tfp6,neg
" devstateddd, my silly iphone deleted all my jailbreak stuff  thats 25 apps !",neg
 did not get to go see UP!! Oh well ended up going to dinner with Blase and Bridget!,neg
 didn't get much sleep again cos of the flippin neighbours! Grr time to work again! ,neg
" Didn't get to do some car scheming tonight. sad. but i did get to mosh while looking like a complete bogan, WOOTS!",neg
 didn't go out last night I fell asleep .... I Suck (not literally),neg
" Didn't have time updating because was 2 busy enjoying this &quot;love making, sleep with no clothes on, &amp; eating bbq&quot; weather. I miss this &lt;3",pos
 didn't think Netball was on coz it was raining when I got there ... Now no one can take me  Manee is going to b annoyed :|,neg
 Didn't win the twitter contest. BOO,neg
 Dinara lost again in Roland Garros. Why the Safins have to do it hard?,neg
 dinner &lt; bath &lt; workout &lt; run,pos
 Diplomatic husband to his wife &quot;How do u expect me to remember ur birthday when u never look any older?&quot; (via @normaltusker @nehabagoria),pos
 dissapointed.,neg
 does anybody know the statistics homework *not that I have started* nobody is answering my emails about business studies...,neg
 doesn't know what to get fir a tattoo,neg
 dont feel good ptosis ;),neg
 Don't forget to vote today! http://bit.ly/3MGnegr,pos
- don't ignore the smell of sizzling skin when you're sitting in the sun! ,neg
 dont know whats wrong with me,neg
 Don't like ending the night arguing with the huz in SMF over stupid home improvement crap.,neg
 don't wanna go to work,neg
 @Dayngr TweetWrath I think I just coined a new word where is that twitter dictionary http://tr.im/nyYv,pos
 @DemonicTurtle - You guys have fun last night? I hope you got my text... Pub quizzage tomorrow?,neg
 @DJWiLLGATES,pos
" @electrograffiti I know but I'll miss having someone to bitch about Brussels trams, metro, bad customer service, lack of quorn.. etc.",neg
 @ELYSIANFIELDZ=CLASS @ELYSIANFIELDZAJ=NO ANSWER @RON_NO4LYFE=WORK @_ETJ= ON THE ROAD @PLUSISAPLUS=N NOLA IM HUNGRY WITH NOpos 2 EAT WITH!,neg
 @essentially_me Funny fact: @sween has about 3x his town's population following him on tumblr. How does h.. http://tr.im/lCEl,pos
" @fernandofelman am gonna miss you too. if it's really gonna be 2-3 years, i might end up visiting you in Aussie land (i wish)",pos
- @flopearedmule  Guess that's the end of my love affair with emusic.,neg
 @Grahamapalooza @RoniBryantMusic @Rob_in_Grantham @BananasMel @joetech @joecopas267pos @britespark @rnegckrulez @johnnybeane @bsideofSoccer,pos
- @hannahradford is taking me to lunch today ,pos
 @I_am_delo,neg
 @iggigg too busy to see me in London this evening. What is a boy to do?,neg
 @JeffersonReid is never on Twitter anymore ,neg
 @jessdelight: LMAO @liveguy,pos
 @joeschmitt Twitter maintenance on a Friday night? They really haven't been listening if they think we wo.. http://tr.im/nDkq,pos
" @johnmaeda Are you a .EXE (do-er), .PPT (talk-er), or .TXT (leafy potted plant) http://tr.im/oBOf",pos
 @joseke Trent Reznor quits Twitter - http://migre.me/28pose (via @trabalhosujo),neg
- @Kerry35neg would love to meet up with yourself and @angeloys but I've made plans already  we'll get another opportunity again soon!,neg
 @krystynchong that's a lovely compliment. thx much! ,pos
 @ksymmonds THANKYOU ,pos
 @LAFD*UPDATE: SB posposneg Fwy x 8th St* Correction: Dead female now 'pos6 y/o'; LAFD complete; CHP &amp; Coroner to handle; NFD - Brian Humphrey###,neg
 @lazoug KStew and MA still together http://bit.ly/cdrcw happy or not?? Lol Im happy if Kristen is happy,neg
- @libraritarian59 Oh no! @donutspy isn't a good link! ,neg
"- @littlecharva - if the front wasn't black on both, I would have got the white one. As it is, the black looks sleek &amp; the white doesn't ",neg
"- @littlecharva - the full voice control is making me want iPhone 3GS, but neg2 will charge me a fortune as my 3G contract not up til April ",neg
 @MaMii_THiCKNESS don't do dat. jst tell em 2 suck ur dyck! that always makes me feel better,neg
- @MelbourneVixens Awesome 4th quarter ladies! Great game ,pos
 @monique4ever is messing with my mind.,neg
 @netfart quite the opposite,pos
"- @nikkofelipe night, and thanks for the call ",pos
 @ohhushaubrey it makes me wanna cry,neg
" @PANposF @OregonMJW No, I do know the difference! Like I say, it's been a long time. A very long time http://tr.im/nJOo",pos
 @PhillMason @Philoscribe Thank you. I am genuinely grateful,pos
- @PinkElephant73 So pretty much you look like a candy floss machine today ,pos
 @prblog @steverubel posterous looks like tumblr for iPhone? looks interesting. can you fold this content .. http://tr.im/nhcv,pos
 Dont Wanna Leave NY Today.,neg
' dont worry about the for amigos!! there still hangin in there'   &lt;//3  ,neg
 down to 3k in chips.,neg
" downloaded one movie yesterday and having some problem with that ,  i thnk i deserve that...",neg
 Driving Lizzie to the airport. Say good bye Lizzie.,neg
-- DT tonight; DT tomorrow day &amp; night   beauty.,pos
 dude I almost just shocked myself. Lesson learned never get outta the shower and think electricity won't hate on ur ass.,neg
- eaten some steak!!! im feeling good! much better!! missing my lady though ,neg
 eating my last wizz fizz,neg
 ECL all day to try to cram all of this organic chemistry back into my head. Final tomorrow. ugh,neg
 eff that bitch at Dunkin Donuts,neg
" elise and melanie are the SHIZ,",pos
 ellie just text me saying &quot;theyre not gona read our text are they? &quot; I WILL SPEAK TO MCFLY!,neg
 emotional.,neg
" Everton F.C. just got beat in the Finals of the F.A. Cup against Chealea F.C. Oh well, at least we got to the finals and played well!",neg
 everton. oh well. lol.,neg
 every fucking day,neg
 every one i was talking to on msn has gone offline  and i won't be able to talk till them tomorrow  i feel lonely :'( x,neg
- Every so often I catch my own reflection &amp; think .. Now that's one cool son-of-a-b*tch .. today's one of those days ,pos
" every time i leave my room,i miss bubu sending me a msg and then he's gone,same on my side.its been hapnin all day...universe?!!mxit then",neg
 everyones drunk but me,neg
 everyones dying or bordeirlne on SVU ,neg
 Exams.....help !,neg
 expensive car repairs   ,neg
 Explore twitter,pos
 F%$&amp;ing Red Wings!,neg
" failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",neg
 failing at everything i should just give up now....,neg
 Famed Michigan bookstore to close its doors http://u.mavrev.com/bc7v,pos
 famliy  going bck homee and have too taKE sister hores riding oh no gonna be a boring day ,neg
 Farrah Fawcett dies of cancer at 62. http://bit.ly/OnhYd,neg
 fcukk you!,neg
 fedex will be kicked out of the french open ...,neg
 feelin very pessimistic ):,neg
 feeling a litle sad ,neg
 feeling all sad leaving mumbai...,neg
 feeling down. reality is setting in. i know i should be beyond this point. why am i still here? i want to follow my dreams but im scared,neg
 Feels bad for Cali... poor thing.,neg
 female model tortured by prince http://tinyurl.com/mbmanohara,neg
 ferrets are much cooler than fishes.,neg
 FIELD TRIP TODAY  LEAVING NOW :3,pos
"- finally at home ; bout to napp , then get ready for college tomorrow  ughhh ; sooo excited !",pos
 Finally managed to check the Euromillions results......NO ï¿½89 million for me I'm afraid :[   Oh well...you gotta be in it to win it!,neg
" finding out the Hollywood Video i frequent, is not re-model-ing, and is in fact, closed  *cancels account* so much 4 super cheap DVDs",neg
 @PurpleHazeYobi Hope you had fun with &quot;Lisa&quot; the Jillian replacement lol... I was busy getting @_rosiecakes drunk! lol I &lt;3 u both... xo,neg
 @richietachie i missed all..imma call u tomorrow..and reduce the number of Qs by tomorrow pls...i have a phobia for that lol seriously,neg
 @rickswift #followfriday these ppl or catch crabs @KarlKleese @lpjdesign  @LostZombies @pinkraygun @BittenbyBooks @hippojuicefilm @zazzle,pos
" @SandyU @MightyBoognish @kittyireland It's light with a bit of punch. Mission=San Francisco gin, Mexican liqueur, seemed an apt name.",pos
" @Savage_Death55 I am super emo about stupid stuff rn, and SG is making me feel better. :p",pos
 @sf_giants bullpen loses lead,neg
 @ShawnaShameless &amp; @killavilla if anyone else said something it's to you too.,pos
 @Spiral_galaxy @YMPtweet i mean we have the best religion the only thing that we have to do is to follow it the right way,neg
 @StephenHDunn bows out of the Raid. &quot;Dunn&quot; his back Inn. Speedy recovery mate.,neg
 @stevijean yeahuhh,pos
" @sylvanus is having the worse day ever. Boss is spazzing out at work and finally done with a late night photo shoot, only to have a flat",neg
 @tahninial just called me a cheeseburglar. He made me sad,neg
 @taylorswiftpos3 didnt win the first award she was nominated for. Oh well.. Shes tied for most nominations.,neg
" @Tellman says, &quot;Crush the Commies&quot; = sad. My grandfather, RIP, was a Commie @Tellman",neg
- @TendaiJoe well none of us are getting out of here alive but we would like to stay a while.I wish people would stop killing each other ,neg
 @the_prodigy AND @NKOTB in Boston 2day Boo!! Roll on summer already!!! x,neg
 @therealglambert sorry...got carried away with gossip  on another note: Pass on a Hippo Birdie &amp; a big koala hug to KRIS for me! xoxo K,neg
" @thesmartmama I have no office. I know this is hard to believe, but people don't want to employ me.",neg
 @ThisChicsFlava: @DaPrbmChild lmao&lt;3,pos
 @tommcfly hi when ur back &amp; when ur next in mk i am gona need pos of your really good hugs that only you and my friend liam can give ok.,neg
" @tweetdeck lost my groups, and thats not a good thing with 23k followers ",neg
 @WeeLaura Guardian UK: pos2 students reported killed in crackdown after violent clashes in #Iran http://bit.ly/wHLBv,neg
" @YMPtweet @Spiral_galaxy  but so badly no one does , i know that there is more but that's what i got so far",neg
" @zeldman just said on Flickr re a Mac that wouldn't install OS X (yes): &quot;As user-focused design goes, this is an exploding colostomy bag&quot;",pos
 __cheer up emo kid.,neg
 ~ LVATT IS COMMING!!! ~,pos
 = next few days,neg
 =] happy sunday =] ,pos
 pos dinger in and I so regret popping that pill...,neg
" pos month of bed by pos:3negAM, already failing as you can see",neg
 2 days I haven't tlkd 2 mi amor..im kinda stubborn when it comes 2 my bf..I will NOT call..not a bugaboo type,neg
 2 hear about jon n kate...couples should steer clear of those reality shows! just say no!,neg
--- 2negneg9 NCAA National Softball Champions UW Huskies ,pos
" 2nd item did not arrive, am still waiting for it to show in my aramex web page.",neg
 Finished my paper!!!!!!!!!! But............   smh,neg
 first days are always good..wish my dentist gave me more hours though,pos
" for the fact that *I* didn't get any work done, not that you all did. ",neg
" forgot XBL was off today, was about to check to see if a game was on XBLA that I wanted to buy  oh well, maybe tomorrow",neg
 found a mosquito bite.  (Those tend to get really swollen and red for me)  Distracting myself with caffeine,neg
 Found a way to make this Private woot woot,pos
 Four more fake people added me. Is this why people don't like Twitter?,neg
 frank iero should be the sexiest vegetarian 2negneg9.,neg
" french lost, #fb",neg
 fuck man .i hate this. =O. work suckss :'(,neg
" fuck you, :]",neg
"- fuck, my money is running out &amp; i have no jobs... ",neg
 fuck. I am an ugly person.,neg
 fucking rur mom,pos
"- Fwd: Good Morn,happy birthday !  regardless of what ppl said yesterday,they don't realize what happend behind the scene.One of the  ...",pos
 gah. so much less ok than i was trying to tell myself i was.,neg
 GCSE's clearly suck.,neg
- Geez Chelsea already scored against Everton   pos-neg,neg
 gerald lost a friend............idk what to say........this is like day 2 of crazy events.......,neg
 getting &quot;goodbye&quot; e-mails from #Iran #iranelection,neg
-- getting a Mani + Pedi with the husband! ,pos
 getting a webcam today.,pos
"- Getting ready to leave for Spring City, TN - @EzraJane I'm going to miss your show tonight... ",neg
- getting ready to watch the Sprint Cup boys try to tame the concrete Monster Mile! hopefully tires won't be too much of an issue! ,pos
 girls girls. don't fight! you both can have me! there's enough to go around!,neg
 gnight my phone sucks Bleh,neg
-- g'night tweeties! &lt;3 talk to you all in the AM  - @damesmash haha you have work in the AM,pos
 go away migraine!!! you are not welcome!!!,neg
 go away rain.,neg
 go follow my personal twitter! @nikkidallasen,pos
 Go Wings! FTW!,pos
- God i'm up early. Hayley still asleep but today is party day so i'm getting stuff ready.  x,pos
 going home to see my baby   [dont be ashamed of your faith],pos
 going out for dinner with the family ,pos
 going to bed,neg
 going to bed.,pos
- going to bed. ,pos
 going to get piï¿½a colada mix to wallow in my sorrows,neg
 going to lay down. Fuck tonight,neg
 Going to London Expo this weekend  Can't wait !,pos
 going to master classes without my car... I miss you my VW!!!,neg
"- goingg to sleep  school , then out for pizzaa!",pos
 gonna miss jesse mccartney's live stream from kiss concert cuz i have to babysit. figures they dont have internet klfjhadsklfhk fml,neg
" Gonna WoW for a bit. Later, Twitter &lt;3",pos
 good luck!!,neg
 good morning lovely! ,pos
 good morning/afternoon. Things will be great today.,pos
 @onlyposfe FF @TommyBlack @djksly @Wordsmithmusic&lt;--FF them!Tommy- CHi ALLday K-sly..FLY!!JUNCITY! MANHATTAN!ATL OWWW! ; ) wordsmith fiyah!,pos
 @pageoneresults Online reality blogging &amp; tweets... My Life On the Social Media D-List,pos
"- @paul_a_smith - ooh, but Clean Sheet Day is awesome!! Woo!  hope you're feeling better now?",pos
"- @PJ - @alexjreid's family friend who died is also my old art teacher  very sad, he was a madcap teacher we all liked",neg
 @rabbitroodle  I think I've won the battle over the impending *crud*. Enjoy your drive this AM,pos
- @rainboweffect Crickey can't think that far ahead - think getting to 2negneg9 followers is pretty ambitious ,pos
" @reidstott Coffee keeps me running. In fact, without coffee, I wouldn't get any exercise at all http://tr.im/mNkZ",pos
 @remysoon,pos
 @saharabloom got off lazy bum and did Chalean burn intervals. I turned a fascinating shade of puce. Wondered where all the oxygen went .,neg
- @samshafer I bookmarked it and will check it out after I get some sleep. Thanks Sam! ,pos
 @shanedawson i'm sad now i leave for 2 hours and u didn't even miss me  anywho um i still luv u and whats with getting a frozen turkey?,neg
 @ShannonHerod &quot;It is always your next move.&quot; Napoleon Hil http://tr.im/mRnegu,pos
 @sonjatweet ur hot,pos
" @ssandall That's it! Removing bots is like weeding a garden. Not fun, but must be done... eventually!",pos
 @TheNotoriousJEN,pos
 @tjwriter Hubby has Briso on DVD.  I haven't seen it all yet but I enjoy it. I saw Army of Darkness and Evil Dead because of Hubs too.,pos
"- @ToothFairyHeavn What a considerate Tooth Fairy you are, checking to make sure you didn't miss anyone. ",pos
' @vangeest We are perfectly on schedule' - Nobody is waisting time today  (Don't mention the Sun again;) Dedicated audience,pos
" @yhf My twenties: Look, a bed! WONDER WHAT WE CAN DO. My thirties: Look, a be--ZZZZZZZZZZZzz http://tr.im/n88N",pos
" @YMPtweet @Spiral_galaxy but so badly no one does , i know that there is much more but that's what i got so far",neg
" @Zaiuspos3 If it weren't for unspeakable things, I don't know what I'd do. http://tr.im/mXposN",pos
 _BellaCullenpos8_  i've been ok just got through crying with leah * frowns at the thought* we were talking about our dead fathers,pos
 ~ cooking!!!,pos
 ~ ncis!!!,pos
- pos follower WOW! ,pos
 posnegneg followers!  YAY!,pos
 pospos:pospos makee a wishhh ;)&lt;3 GOODNIGHT,pos
 pospos:pospos. I know what I'm wishing for!,pos
- pos55 days until the JB'concert in Milan!!!!I'm guarding my tickets ,pos
" 2 days of this month left, and I only have 4negnegMB left on my onpeak downloads.",neg
 2 more weeks of classes and pos week of exam blockk then HOLIDAYS!!! holland and then on to australia x,neg
 2 weeks!!!!,neg
 2pos days of no twittering and i'm back. -.- i think.,pos
 2morrow last day of skool! i'm gonna miss everyone thats leaving and specially you mel mel! bye bye! good night twitters!! &lt;3,neg
 3neg lbs lost since Feb. Still have a lot more to go.,pos
" 4 more minutes of lunchtime left, bad times. But my @jonasbrothers album has arrived. Yay.",neg
" Good Night ! Okay, I got really nothing to say.",pos
 Good night! Arrgghhhh 5-2 B.P. Do work boys!,pos
 good to hear from you,pos
 good weekend,pos
 Goodbye CWG of my life.,neg
 goodbye hair length,neg
- goodnight  ! math&amp;spanish finals tomorrow. spanish should be easy. woo.,pos
 gooooood morning my twitter friends!  Have a nice sunday,pos
 Gossip girl tonight!!!,pos
 got burned really bad due to constantly being too wet to reapply sunscreen,neg
 Got Escala's new album now.  T'is very good ,pos
 Got new photoshop magazine but I need my Dad's portable CD drive to use the CD with the pics on it D: I think I'm stuck there tomorrow,pos
 got sunburnt today. another day in paradise! been for 2 swims in the ship's pool!,neg
 got to work at 7:negnegam! ughhhh longgg day ahead of me!,neg
 gotta love her. glad she had fun. looking forward to the beach w/ her! ,pos
" Graveyard charged my card twice (one correct total, one random amt) from last night's #atltweet tweetup. Check your accounts!",neg
 great  just fucking great,neg
- Great day people-watching in Berkeley with my bro  I love him.,pos
 Great Falls Tribune story  only talks of scouts in title. Story's theme is Be prepared when back country  traveling. http://bit.ly/8cRXR,neg
 great my dad locked himself out of his car n its on... N we are 5 hours from home,neg
 great nite,pos
" Great tights, good outfit! http://lookbook.nu/look/pos6neg9pos6",pos
" great, got to do a fake presentation on explaining how an operating system can be viewed as an event driven application, i dont get it :S",neg
 Great.  ? http://blip.fm/~7df6m,pos
 Great...rosie was sooo close to getting her long overdue 'rosie day' but now has to wait.....til another day...sadness,neg
- grr you've changed. i don't like it. you haven't called me momo in a week ,neg
" grrrrr. why can they just go away for like 2 days! haha. this is stupid. i have to pack for mexico, bye! =]",neg
 gud bye laptop!! damn!!my mom will confiscate my laptop on june 23!!( soo saadd!!,neg
 guess it's gonna be a lonely night for me.. Someone save me please!,neg
 guess who im missing,neg
 gutted i hope it comes soon !,neg
 guys are pricks. gonna have an early night and cry til i fall asleep. fuck you all.,neg
 h dont know who to go to teh movies with Sir. Lolz alot ^o^,neg
" had a good night, love my best buds in the world!!! adamcheeeserosie",pos
 had a Really good night!!! Stoked for things to come!!!,pos
 had an ok day. it went by fast.,pos
 Had to buy a pair of wellies. Still in denial that it's gonna rain at Download.,neg
 had to buy corney ass capri&quot;s ughhhhhhhhhhh now im hungry,neg
 had to cancel a great day I had ahead of me today.....,neg
 had yo come home early cos i ran out of money I WANT A FUCKING JOB AND THERE NONE OUT THERE FUCK FUCK FUCKITY FUCK FUCK,neg
